Time,Region,Births,CBR,TFR,NRR,Population
1970,Africa,17149.97,46.915,6.6879,2.2018,360703.245
2010,Africa,39685.493,37.013,4.8905,2.0168,1058249.434
2020,Africa,44373.658,32.136,4.2423,1.8364,1364276.394
1970,Asia,81210.591,37.992,5.5909,2.1188,2111391.852
2010,Asia,79595.72,18.773,2.3225,1.0404,4215013.658
2020,Asia,69047.894,14.728,1.9733,0.9128,4671399.827
1970,Europe,10564.868,16.081,2.2826,1.0663,655376.513
2010,Europe,8236.451,11.158,1.6056,0.7693,737549.64
2020,Europe,6947.411,9.269,1.4649,0.7049,749924.805
1970,Northern America,4252.364,18.542,2.4912,1.1731,227745.746
2010,Northern America,4358.462,12.619,1.8899,0.9101,343670.804
2020,Northern America,4005.657,10.604,1.5961,0.7674,377287.098
1970,Oceania,488.869,25.078,3.5659,1.6008,19223.115
2010,Oceania,678.428,18.211,2.5235,1.1729,36937.684
2020,Oceania,684.199,15.522,2.1402,1.0023,43840.557
1970,Latin America,25190.854,65.22,9.1316,3.83,792259.926
2010,Latin America,25957.828,34.562,4.2743,2.0197000000000003,1515206.838
2020,Latin America,23327.241,28.278,3.6578,1.7449,1666658.978
