Region,Muslims 1910,1910%,Muslims 1970,1970%,Muslims 2010,2010%
Africa," 39,916,000 ",32.1," 148,210,000 ",40.6," 425,860,000 ",41.7
Eastern Africa," 4,250,000 ",12.9," 21,574,000 ",19.5," 70,824,000 ",21.9
Middle Africa," 871,000 ",4.5," 3,494,000 ",8.6," 12,226,000 ",9.7
Northern Africa," 26,275,000 ",82.2," 75,812,000 ",92.2," 186,697,000 ",89.1
Southern Africa," 36,800 ",0.5," 271,000 ",1.1," 887,000 ",1.5
Western Africa," 8,482,000 ",25.5," 47,059,000 ",44," 155,227,000 ",51
Asia," 171,690,000 ",16.7," 406,559,000 ",18.9," 1,078,854,000 ",25.9
Eastern Asia," 24,450,000 ",4.4," 12,103,000 ",1.2," 21,601,000 ",1.4
South-central Asia," 102,025,000 ",29.5," 224,849,000 ",68.3," 632,333,000 ",35.8
South-eastern Asia," 20,234,000 ",21.6," 96,932,000 ",34.6," 218,910,000 ",36.9
Western Asia," 24,981,000 ",75.7," 72,675,000 ",82.5," 206,010,000 ",88.8
Europe," 10,048,000 ",2.4," 18,273,000 ",2.8," 41,492,000 ",5.6
Eastern Europe," 7,920,000 ",4.4," 11,545,000 ",4.2," 16,776,000 ",5.7
Northern Europe, 570 ,0," 676,000 ",0.8," 2,865,000 ",2.9
Southern Europe," 2,077,000 ",2.7," 4,034,000 ",3.2," 10,276,000 ",6.6
Western Europe," 51,000 ",0," 2,018,000 ",1.2," 11,576,000 ",6.1
Latin America," 67,800 ",0.1," 424,800 ",0.1," 1,527,000 ",0.3
Caribbean," 18,000 ",0.2," 70,200 ",0.3," 114,000 ",0.3
Central America," 2,500 ",0," 46,600 ",0.1," 148,000 ",0.1
South America," 47,300 ",0.1," 308,000 ",0.2," 1,265,000 ",0.3
Northern America," 11,700 ",0," 842,000 ",0.4," 5,492,000 ",1.6
Oceania," 14,800 ",0.2," 70,900 ",0.4," 549,000 ",1.5
Australia/New Zealand," 11,800 ",0.2," 26,000 ",0.2," 484,000 ",1.8
Melanesia," 3,100 ",0.2," 44,900 ",1.3," 63,800 ",0.7
Micronesia, -   ,0, -   ,0, 950 ,0.2
Polynesia, -   ,0, -   ,0, 69 ,0
Global total," 221,749,000 ",12.6," 574,379,700 ",15.5," 1,553,773,000 ",22.5
