Region,Christians 2020,2020%,Christians 2050,2050%
Africa," 654,913,000 ",48.9," 1,280,641,000 ",51.4
Eastern Africa," 292,393,000 ",65.6," 577,014,000 ",67.8
Middle Africa," 148,998,000 ",83," 328,208,000 ",85.8
Northern Africa," 11,668,000 ",4.7," 14,724,000 ",4
Southern Africa," 55,465,000 ",82.2," 70,990,000 ",81.2
Western Africa," 146,389,000 ",36.4," 289,705,000 ",36.4
Asia," 377,842,000 ",8.1," 559,973,000 ",10.6
Eastern Asia," 128,446,000 ",7.7," 218,347,000 ",13.5
South-central Asia," 80,912,000 ",4," 124,889,000 ",5
South-eastern Asia," 152,878,000 ",22.9," 200,902,000 ",25.3
Western Asia," 15,606,000 ",5.6," 15,835,000 ",4.1
Europe," 572,603,000 ",76.6," 496,682,000 ",69.9
Eastern Europe," 245,905,000 ",83.9," 220,373,000 ",84.1
Northern Europe," 106,261,000 ",70.5," 68,689,000 ",59.8
Southern Europe," 152,215,000 ",80.6," 98,482,000 ",72.1
Western Europe," 196,146,000 ",65.8," 109,137,000 ",55.4
Latin America," 653,962,000 ",92.2," 685,870,000 ",90
Caribbean," 43,532,000 ",84.1," 39,963,000 ",84.3
Central America," 179,670,000 ",95.7," 209,112,000 ",93.5
South America," 430,760,000 ",91.5," 436,795,000 ",88.9
Northern America," 368,870,000 ",73.1," 276,078,000 ",64.9
Oceania," 42,678,000 ",67.1," 34,776,000 ",60.6
Australia/New Zealand," 30,322,000 ",56.9," 16,996,000 ",44.2
Melanesia," 11,123,000 ",92.1," 16,400,000 ",93.9
Micronesia," 549,000 ",93.1," 614,000 ",91.1
Polynesia," 684,000 ",96.1," 766,000 ",94.4
Global total," 7,794,799,000 ",32.2," 3,334,019,000 ",34.2
