Region,Population 1910,Population 2010,Population 2020,Population 2050,Agnostics 1910,Agnostics % 1910,Agnostics 2010,Agnostics % 2010,Agnostics 2020,Agnostics % 2020,Agnostics 2050,Agnostics % 2050
Africa,124541000,1022234000,1340598000,2489275000,8400,0.0,6497000,0.6,8215000,0.6,16509000,0.7
Eastern Africa,33012000,324044000,445406000,851218000,220,0.0,854000,0.3,1094000,0.2,2479000,0.3
Middle Africa,19445000,126689000,179595000,382640000,0,0.0,727000,0.6,1074000,0.6,2203000,0.6
Northern Africa,31968000,209459000,246233000,371545000,5700,0.0,1267000,0.6,1611000,0.7,2532000,0.7
Southern Africa,6819000,57780000,67504000,87379000,2500,0.0,2765000,4.8,3274000,4.8,6665000,7.6
Western Africa,33296000,304261000,401861000,796494000,0,0.0,884000,0.3,1163000,0.3,2630000,0.3
Asia,1026693000,4164252000,4641055000,5290263000,50400,0.0,504762000,12.1,547520000,11.8,430397000,8.1
Eastern Asia,554135000,1573970000,1678090000,1617342000,30900,0.0,467232000,29.7,505861000,30.1,374004000,23.1
South-central Asia,345718000,1764872000,2014708000,2496417000,15800,0.0,17302000,1.0,19517000,0.1,27338000,1.1
South-eastern Asia,93859000,593415000,668620000,794002000,2500,0.0,17126000,2.9,18834000,2.8,23341000,2.9
Western Asia,32982000,231995000,279637000,382502000,1200,0.0,3102000,1.3,3308000,1.2,5714000,1.5
Europe,427044000,738199000,747636000,710486000,1643000,0.4,93325000,12.6,101371000,13.6,112774000,15.9
Eastern Europe,178184000,294771000,293013000,261977000,306000,0.2,23612000,8.0,22370000,7.6,14525000,5.5
Northern Europe,61473000,99205000,106261000,114960000,836000,1.4,17568000,17.7,20628000,19.4,27816000,24.2
Southern Europe,76828000,155171000,152215000,136648000,179000,0.2,13262000,8.5,14073000,9.2,17473000,12.8
Western Europe,110558000,189052000,196146000,196902000,322000,0.3,38882000,20.6,44300000,22.6,52961000,26.9
Latin America,78254000,590082000,653962000,762432000,446000,0.6,18712000,3.2,22594000,3.5,43154000,5.7
Caribbean,8172000,41646000,43532000,47394000,2500,0.0,2804000,6.7,2804000,6.4,3504000,7.4
Central America,20806000,155881000,179670000,223567000,11700,0.1,3772000,2.4,4780000,2.7,10556000,4.7
South America,49276000,392555000,430760000,491472000,432000,0.9,12136000,3.1,15009000,3.5,29095000,5.9
Northern America,94689000,344529000,368870000,425200000,1169000,1.2,48119000,14.0,64155000,17.4,91007000,21.4
Oceania,7192000,36593000,42678000,57376000,51100,0.7,5529000,15.1,8281000,19.4,13303000,23.2
Australia/New Zealand,5375000,26637000,30322000,38422000,50100,0.9,5433000,20.4,8160000,26.9,13085000,34.1
Melanesia,1596000,8746000,11123000,17469000,1000,0.1,74600,0.9,97800,0.9,178000,1.0
Micronesia,89400,536000,549000,674000,0,0.0,6600,1.2,7200,1.3,12700,1.9
Polynesia,131000,673000,684000,811000,0,0.0,14800,2.2,15700,2.3,27400,3.4
Global total,1758412000,6895889000,7794799000,9735034000,3369000,0.2,676944000,9.8,752135000,9.6,707144000,7.3
