Region,Population 1910,Population 2010,Population 2020,Population 2050,Hindus 1910,Hindus % 1910,Hindus 2010,Hindus % 2010,Hindus 2020,Hindus % 2020,Hindus 2050,Hindus % 2050
Africa,124541000,1022234000,1340598000,2489275000,303000,0.2,2930000,0.3,3555000,0.3,5031000,0.2
Eastern Africa,33012000,324044000,445406000,851218000,242000,0.7,1612000,0.5,1939000,0.4,2817000,0.3
Middle Africa,19445000,126689000,179595000,382640000,0,0.0,99300,0.1,136000,0.1,302000,0.1
Northern Africa,31968000,209459000,246233000,371545000,0,0.0,7400,0.0,8600,0.0,15600,0.0
Southern Africa,6819000,57780000,67504000,87379000,61400,0.9,1201000,2.1,1421000,2.1,1807000,2.1
Western Africa,33296000,304261000,401861000,796494000,100,0.0,9700,0.0,51800,0.0,88800,0.0
Asia,1026693000,4164252000,4641055000,5290263000,222876000,21.7,941481000,22.6,1049702000,22.6,1194647000,22.6
Eastern Asia,554135000,1573970000,1678090000,1617342000,8000,0.0,61800,0.0,66700,0.0,81000,0.0
South-central Asia,345718000,1764872000,2014708000,2496417000,221364000,64.0,933161000,52.9,1039590300,51.6,1182375000,47.4
South-eastern Asia,93859000,593415000,668620000,794002000,1501000,1.6,6918000,1.2,7872000,1.2,9259000,1.2
Western Asia,32982000,231995000,279637000,382502000,3100,0.0,1340000,0.6,2173000,0.8,2932000,0.8
Europe,427044000,738199000,747636000,710486000,65,0.0,1052000,0.1,1275000,0.2,1911000,0.3
Eastern Europe,178184000,294771000,293013000,261977000,0,0.0,47700,0.0,50000,0.0,51500,0.0
Northern Europe,61473000,99205000,106261000,114960000,10,0.0,692000,0.7,730000,0.7,1019000,0.9
Southern Europe,76828000,155171000,152215000,136648000,55,0.0,30300,0.0,198000,0.1,410000,0.3
Western Europe,110558000,189052000,196146000,196902000,0,0.0,282000,0.1,297000,0.2,431000,0.2
Latin America,78254000,590082000,653962000,762432000,186000,0.2,765000,0.1,819000,0.1,850000,0.1
Caribbean,8172000,41646000,43532000,47394000,84600,1.0,382000,0.9,397000,0.9,375000,0.8
Central America,20806000,155881000,179670000,223567000,0,0.0,18000,0.0,22100,0.0,37000,0.0
South America,49276000,392555000,430760000,491472000,102000,0.2,365000,0.1,399000,0.1,438000,0.1
Northern America,94689000,344529000,368870000,425200000,1200,0.0,1835000,0.5,2080000,0.6,3280000,0.8
Oceania,7192000,36593000,42678000,57376000,16400,0.2,513000,1.4,815000,1.9,1137000,2.0
Australia/New Zealand,5375000,26637000,30322000,38422000,0,0.0,274000,1.0,565000,1.9,875000,2.3
Melanesia,1596000,8746000,11123000,17469000,16400,1.0,239000,2.7,250000,2.2,262000,1.5
Micronesia,89400,536000,549000,674000,0,0.0,26,0.0,23,0.0,100,0.0
Polynesia,131000,673000,684000,811000,0,0.0,100,0.0,110,0.0,150,0.0
Global total,1758412000,6895889000,7794799000,9735034000,223383000,12.7,948575000,1.8,1058245000,13.6,1206856000,12.4
