Region,Population 1910,Population 2010,Population 2020,Population 2050,Muslims 1910,Muslims % 1910,Muslims 2010,Muslims % 2010,Muslims 2020,Muslims % 2020,Muslims 2050,Muslims % 2050
Africa,124541000,1022234000,1340598000,2489275000,39916000,32.1,425860000,41.7,556923000,41.5,1043699000,41.9
Eastern Africa,33012000,324044000,445406000,851218000,4250000,12.9,70824000,21.9,98610000,22.1,198812000,23.4
Middle Africa,19445000,126689000,179595000,382640000,871000,4.5,12226000,9.7,17310000,9.6,35421000,9.3
Northern Africa,31968000,209459000,246233000,371545000,26275000,82.2,186697000,89.1,231451000,94.0,352943000,95.0
Southern Africa,6819000,57780000,67504000,87379000,36800,0.5,887000,1.5,1046000,1.6,1342000,1.5
Western Africa,33296000,304261000,401861000,796494000,8482000,25.5,155227000,51.0,208506000,51.9,455180000,57.1
Asia,1026693000,4164252000,4641055000,5290263000,171690000,16.7,1078854000,25.9,1270800000,27.4,1708609000,32.3
Eastern Asia,554135000,1573970000,1678090000,1617342000,24450000,4.4,21601000,1.4,24371000,1.5,33750000,2.1
South-central Asia,345718000,1764872000,2014708000,2496417000,102025000,29.5,632333000,35.8,748532000,37.2,1027807000,41.2
South-eastern Asia,93859000,593415000,668620000,794002000,20234000,21.6,218910000,36.9,248591000,37.2,302044000,38.0
Western Asia,32982000,231995000,279637000,382502000,24981000,75.7,206010000,88.8,249306000,89.2,345008000,90.2
Europe,427044000,738199000,747636000,710486000,10048000,2.4,41492000,5.6,50647000,6.8,73792000,10.4
Eastern Europe,178184000,294771000,293013000,261977000,7920000,4.4,16776000,5.7,19040000,6.5,23076000,8.8
Northern Europe,61473000,99205000,106261000,114960000,570,0.0,2865000,2.9,5881000,5.5,12123000,10.5
Southern Europe,76828000,155171000,152215000,136648000,2077000,2.7,10276000,6.6,11381000,7.5,15088000,11.0
Western Europe,110558000,189052000,196146000,196902000,51000,0.0,11576000,6.1,14346000,7.3,23505000,11.9
Latin America,78254000,590082000,653962000,762432000,67800,0.1,1527000,0.3,1773000,0.3,2699000,0.4
Caribbean,8172000,41646000,43532000,47394000,18000,0.2,114000,0.3,119000,0.3,136000,0.3
Central America,20806000,155881000,179670000,223567000,2500,0.0,148000,0.1,172000,0.1,277000,0.1
South America,49276000,392555000,430760000,491472000,47300,0.1,1265000,0.3,1482000,0.3,2286000,0.5
Northern America,94689000,344529000,368870000,425200000,11700,0.0,5492000,1.6,5671000,1.5,12551000,3.0
Oceania,7192000,36593000,42678000,57376000,14800,0.2,549000,1.5,888000,2.1,1403000,2.4
Australia/New Zealand,5375000,26637000,30322000,38422000,11800,0.2,484000,1.8,818000,2.7,1320000,3.4
Melanesia,1596000,8746000,11123000,17469000,3100,0.2,63800,0.7,68200,0.6,80300,0.5
Micronesia,89400,536000,549000,674000,0,0.0,950,0.2,1100,0.2,2200,0.3
Polynesia,131000,673000,684000,811000,0,0.0,69,0.0,75,0.0,170,0.0
Global total,1758412000,6895889000,7794799000,9735034000,221749000,12.6,1553773000,22.5,1886702000,24.2,2842753000,29.2
