Religion,Region,Year,Percent Change
Agnostic,World,1970-2010,24.59
Agnostic,World,2010-2020,11.11
Agnostic,World,1970-2020,38.43
Atheist,World,1970-2010,-17.26
Atheist,World,2010-2020,9.42
Atheist,World,1970-2020,-9.47
Buddhist,World,1970-2010,112.05
Buddhist,World,2010-2020,7.63
Buddhist,World,1970-2020,128.24
Christian,World,1970-2010,85.93
Christian,World,2010-2020,244.84
Christian,World,1970-2020,541.17
Hindu,World,1970-2010,102.93
Hindu,World,2010-2020,11.56
Hindu,World,1970-2020,126.39
Muslim,World,1970-2010,170.51
Muslim,World,2010-2020,21.43
Muslim,World,1970-2020,228.48
General Population,World,1970-2010,136.64
General Population,World,2010-2020,13.04
General Population,World,1970-2020,167.49
